D:\shuoli\Desktop\pprzvideo00001\img_00000.jpg 1 209 370 86 87 
D:\shuoli\Desktop\pprzvideo00001\img_00001.jpg 1 202 371 86 90 
D:\shuoli\Desktop\pprzvideo00001\img_00002.jpg 1 202 370 85 98 
D:\shuoli\Desktop\pprzvideo00001\img_00003.jpg 1 180 385 103 99 
D:\shuoli\Desktop\pprzvideo00001\img_00004.jpg 1 170 373 97 98 
D:\shuoli\Desktop\pprzvideo00001\img_00005.jpg 1 156 370 108 129 
D:\shuoli\Desktop\pprzvideo00001\img_00006.jpg 1 118 401 113 117 
D:\shuoli\Desktop\pprzvideo00001\img_00007.jpg 1 99 420 144 140 
D:\shuoli\Desktop\pprzvideo00001\img_00008.jpg 1 86 411 150 149 
D:\shuoli\Desktop\pprzvideo00001\img_00009.jpg 1 71 397 163 155 
D:\shuoli\Desktop\pprzvideo00001\img_00010.jpg 1 65 387 179 170 
D:\shuoli\Desktop\pprzvideo00001\img_00011.jpg 1 45 387 216 200 
D:\shuoli\Desktop\pprzvideo00001\img_00012.jpg 1 27 384 247 239 
D:\shuoli\Desktop\pprzvideo00001\img_00013.jpg 1 4 371 283 262 
D:\shuoli\Desktop\pprzvideo00001\img_00014.jpg 1 1 370 317 281 
D:\shuoli\Desktop\pprzvideo00001\img_00015.jpg 1 1 339 353 351 
D:\shuoli\Desktop\pprzvideo00001\img_00016.jpg 1 1 267 373 453 
D:\shuoli\Desktop\pprzvideo00001\img_00017.jpg 1 1 145 476 627 
D:\shuoli\Desktop\pprzvideo00001\img_00023.jpg 1 8 74 505 620 
D:\shuoli\Desktop\pprzvideo00001\img_00024.jpg 1 13 138 491 451 
D:\shuoli\Desktop\pprzvideo00001\img_00025.jpg 1 1 150 476 395 
D:\shuoli\Desktop\pprzvideo00001\img_00027.jpg 1 51 176 324 226 
D:\shuoli\Desktop\pprzvideo00001\img_00028.jpg 1 65 232 282 207 
D:\shuoli\Desktop\pprzvideo00001\img_00029.jpg 1 119 252 226 187 
